"","OTU","Taxon.sk","Taxon.v80","Taxon.v90","Taxon.v95","Taxon.v99","Taxon.hy"
"1","#q2:types","categorical","categorical","categorical","categorical","categorical","categorical"
"2","0102bf9d6ee4cc623d286a4514d81a83","Eukaryota;Chordata;Actinopterygii;Beryciformes;Melamphaidae;Scopeloberyx;Scopeloberyx_opisthopterus;","Eukaryota;Chordata;Actinopterygii;Beryciformes;Berycidae;Beryx","Eukaryota;Chordata;Actinopterygii;Beryciformes","Eukaryota;Chordata;Actinopterygii;Beryciformes;Melamphaidae;Scopeloberyx;Scopeloberyx_opisthopterus;","Eukaryota;Chordata;Actinopterygii;Beryciformes;Melamphaidae;Scopeloberyx;Scopeloberyx_opisthopterus;","Eukaryota;Chordata;Actinopterygii;Beryciformes;Melamphaidae;Scopeloberyx;Scopeloberyx_opisthopterus;"
"3","010dd2fd5f2a8a7a2ca702a15d1e2cb8","Eukaryota;Chordata;Actinopterygii","Unassigned","Unassigned","Unassigned","Unassigned","Eukaryota;Chordata;Actinopterygii"
"4","010f2837047966c0edf53b3efc118241","Eukaryota;Chordata;Actinopterygii","Eukaryota;Chordata;Actinopterygii;Perciformes","Eukaryota;Chordata;Actinopterygii","Unassigned","Unassigned","Eukaryota;Chordata;Actinopterygii"
"5","0164901b95e6e827fcf6f7687e4153e2","Eukaryota;Chordata;Actinopterygii","Unassigned","Unassigned","Unassigned","Unassigned","Eukaryota;Chordata;Actinopterygii"
"6","017e335589cc0be45fb02b8110993765","Eukaryota;Chordata;Actinopterygii;Stomiiformes;Sternoptychidae;Polyipnus;Polyipnus_polli;","Eukaryota;Chordata;Actinopterygii;Stomiiformes;Stomiidae","Eukaryota;Chordata;Actinopterygii;Stomiiformes;Sternoptychidae;Polyipnus;Polyipnus_polli;","Eukaryota;Chordata;Actinopterygii;Stomiiformes;Sternoptychidae;Polyipnus;Polyipnus_polli;","Unassigned","Eukaryota;Chordata;Actinopterygii;Stomiiformes;Sternoptychidae;Polyipnus;Polyipnus_polli;"
"7","019a18905e49c907feb57ae8bb25c398","Eukaryota","Unassigned","Unassigned","Unassigned","Unassigned","Eukaryota"
"8","019a78362abd0e5f353c00a39c14b3a4","Eukaryota;Chordata;Actinopterygii","Eukaryota;Chordata;Actinopterygii;Stomiiformes;Gonostomatidae;Cyclothone","Eukaryota;Chordata;Actinopterygii;Stomiiformes;Gonostomatidae;Cyclothone;Cyclothone_microdon;","Eukaryota;Chordata;Actinopterygii;Stomiiformes;Gonostomatidae;Cyclothone;Cyclothone_microdon;","Eukaryota;Chordata;Actinopterygii;Stomiiformes;Gonostomatidae;Cyclothone;Cyclothone_microdon;","Eukaryota;Chordata;Actinopterygii"
"9","01d736166b00a55579c6cb6fa693a1f4","Eukaryota;Chordata;Actinopterygii","Unassigned","Unassigned","Unassigned","Unassigned","Eukaryota;Chordata;Actinopterygii"
"10","02348c3acb0f4b4c14405d109539ecfe","Eukaryota;Chordata;Actinopterygii","Unassigned","Unassigned","Unassigned","Unassigned","Eukaryota;Chordata;Actinopterygii"
"11","02afebb71268594917fa69fbc6637889","Eukaryota;Chordata","Unassigned","Unassigned","Unassigned","Unassigned","Eukaryota;Chordata"
"12","02b2d972a16ba42cb84a6b8f0c26995a","Eukaryota;Chordata;Actinopterygii;Perciformes;Pomacanthidae;Centropyge;Centropyge_acanthops;","Eukaryota;Chordata;Actinopterygii;Perciformes;Pomacanthidae;Centropyge","Eukaryota;Chordata;Actinopterygii;Perciformes;Pomacanthidae;Centropyge","Eukaryota;Chordata;Actinopterygii;Perciformes;Pomacanthidae;Centropyge","Unassigned","Eukaryota;Chordata;Actinopterygii;Perciformes;Pomacanthidae;Centropyge;Centropyge_acanthops;"
"13","02b305dc3a723a1abec789eb54c03c6a","Eukaryota;Chordata;Actinopterygii;Perciformes;Scombridae","Eukaryota;Chordata;Actinopterygii;Perciformes;Scombridae","Eukaryota;Chordata;Actinopterygii;Perciformes;Scombridae","Eukaryota;Chordata;Actinopterygii;Perciformes;Scombridae","Eukaryota;Chordata;Actinopterygii;Perciformes;Scombridae","Eukaryota;Chordata;Actinopterygii;Perciformes;Scombridae;Katsuwonus;Katsuwonus_pelamis;"
"14","02cd057b9946dd011059b46f00139bfd","Eukaryota;Chordata;Actinopterygii","Unassigned","Unassigned","Unassigned","Unassigned","Eukaryota;Chordata;Actinopterygii"
"15","033f53d90ea27da05f404e53b4449e74","Eukaryota;Chordata;Actinopterygii;Anguilliformes;Serrivomeridae;Serrivomer;Serrivomer_beanii;","Eukaryota;Chordata;Actinopterygii;Anguilliformes;Serrivomeridae","Eukaryota;Chordata;Actinopterygii;Anguilliformes;Serrivomeridae;Serrivomer","Eukaryota;Chordata;Actinopterygii;Anguilliformes;Serrivomeridae;Serrivomer;Serrivomer_beanii;","Unassigned","Eukaryota;Chordata;Actinopterygii;Anguilliformes;Serrivomeridae;Serrivomer;Serrivomer_beanii;"
"16","034c53d37065f3e0d78fe5f9994d4101","Eukaryota;Chordata","Unassigned","Unassigned","Unassigned","Unassigned","Eukaryota;Chordata"
"17","035822f4fa131d21446da3e0be6518ca","Eukaryota;Chordata","Unassigned","Unassigned","Unassigned","Unassigned","Eukaryota;Chordata"
"18","03e561443b0f318a7e1a108c45f3799a","Eukaryota;Chordata","Unassigned","Unassigned","Unassigned","Unassigned","Eukaryota;Chordata"
"19","0414f8c13074f6ed0cd23bb078b9925b","Eukaryota","Unassigned","Unassigned","Unassigned","Unassigned","Eukaryota"
"20","04824b54ef61337f38e20ff83ae68fea","Eukaryota;Chordata;Actinopterygii;Beryciformes;Melamphaidae;Scopeloberyx;Scopeloberyx_opisthopterus;","Eukaryota;Chordata;Actinopterygii;Beryciformes;Berycidae;Beryx","Eukaryota;Chordata;Actinopterygii;Beryciformes;Berycidae;Beryx","Eukaryota;Chordata;Actinopterygii;Beryciformes;Melamphaidae;Scopeloberyx;Scopeloberyx_opisthopterus;","Eukaryota;Chordata;Actinopterygii;Beryciformes;Melamphaidae;Scopeloberyx;Scopeloberyx_opisthopterus;","Eukaryota;Chordata;Actinopterygii;Beryciformes;Melamphaidae;Scopeloberyx;Scopeloberyx_opisthopterus;"
"21","049858b39b4c1d248746b90129cb90ca","Eukaryota;Chordata;Actinopterygii;Beryciformes;Melamphaidae;Scopeloberyx;Scopeloberyx_opisthopterus;","Eukaryota;Chordata;Actinopterygii;Beryciformes;Berycidae;Beryx","Eukaryota;Chordata;Actinopterygii;Beryciformes;Berycidae;Beryx","Eukaryota;Chordata;Actinopterygii;Beryciformes;Melamphaidae;Scopeloberyx;Scopeloberyx_opisthopterus;","Eukaryota;Chordata;Actinopterygii;Beryciformes;Melamphaidae;Scopeloberyx;Scopeloberyx_opisthopterus;","Eukaryota;Chordata;Actinopterygii;Beryciformes;Melamphaidae;Scopeloberyx;Scopeloberyx_opisthopterus;"
"22","04fa4c7784dd5589ec9f958e0b17c0f2","Eukaryota;Chordata;Actinopterygii","Eukaryota;Chordata;Actinopterygii;Beryciformes","Unassigned","Unassigned","Unassigned","Eukaryota;Chordata;Actinopterygii"
"23","058c15dee3a122ecfa2c2a54ac8b85aa","Eukaryota;Chordata","Unassigned","Unassigned","Unassigned","Unassigned","Eukaryota;Chordata"
"24","06e82343a44c1983bfeaf71619cf389c","Eukaryota;Chordata;Actinopterygii;Perciformes","Eukaryota;Chordata;Actinopterygii;Perciformes;Bramidae","Unassigned","Unassigned","Unassigned","Eukaryota;Chordata;Actinopterygii;Perciformes"
"25","076079b4899143b03cfa48ef9c1b5d5e","Eukaryota;Chordata;Mammalia;Carnivora","Eukaryota;Chordata;Mammalia;Carnivora;Otariidae","Unassigned","Unassigned","Unassigned","Eukaryota;Chordata;Mammalia;Carnivora"
"26","07badf6a8d6ec0574d36a07e91804dc3","Eukaryota;Chordata;Actinopterygii;Stomiiformes;Sternoptychidae;Sternoptyx;Sternoptyx_pseudodiaphana;","Eukaryota;Chordata;Actinopterygii;Stomiiformes;Sternoptychidae;Sternoptyx;Sternoptyx_diaphana;","Eukaryota;Chordata;Actinopterygii;Stomiiformes;Sternoptychidae;Sternoptyx;Sternoptyx_diaphana;","Eukaryota;Chordata;Actinopterygii;Stomiiformes;Sternoptychidae;Sternoptyx;Sternoptyx_pseudodiaphana;","Unassigned","Eukaryota;Chordata;Actinopterygii;Stomiiformes;Sternoptychidae;Sternoptyx;Sternoptyx_pseudodiaphana;"
"27","087b9e2cc51eee087d08d4eff96a97db","Eukaryota;Chordata;Actinopterygii","Unassigned","Unassigned","Unassigned","Unassigned","Eukaryota;Chordata;Actinopterygii"
"28","08b7eecd4566f476ecf8c2ba24406091","Eukaryota;Chordata;Actinopterygii;Beryciformes;Melamphaidae;Scopeloberyx;Scopeloberyx_opisthopterus;","Eukaryota;Chordata;Actinopterygii;Beryciformes;Berycidae;Beryx","Eukaryota;Chordata;Actinopterygii;Beryciformes;Melamphaidae;Scopeloberyx;Scopeloberyx_opisthopterus;","Eukaryota;Chordata;Actinopterygii;Beryciformes;Melamphaidae;Scopeloberyx;Scopeloberyx_opisthopterus;","Unassigned","Eukaryota;Chordata;Actinopterygii;Beryciformes;Melamphaidae;Scopeloberyx;Scopeloberyx_opisthopterus;"
"29","08c8859069d97c01dde26443ed682db4","Eukaryota;Chordata;Actinopterygii;Stomiiformes;Sternoptychidae;Sternoptyx","Eukaryota;Chordata;Actinopterygii;Stomiiformes;Sternoptychidae;Sternoptyx;Sternoptyx_diaphana;","Eukaryota;Chordata;Actinopterygii;Stomiiformes;Sternoptychidae;Sternoptyx;Sternoptyx_diaphana;","Unassigned","Unassigned","Eukaryota;Chordata;Actinopterygii;Stomiiformes;Sternoptychidae;Sternoptyx"
"30","08c9489c425d23a4fa439c4919750199","Eukaryota","Unassigned","Unassigned","Unassigned","Unassigned","Eukaryota"
"31","098d08c5a9ab064219eef72540fc3289","Eukaryota;Chordata","Unassigned","Unassigned","Unassigned","Unassigned","Eukaryota;Chordata"
"32","09c678ccb4e760e0b04a094083d00cf9","Eukaryota;Chordata;Actinopterygii","Unassigned","Unassigned","Unassigned","Unassigned","Eukaryota;Chordata;Actinopterygii"
"33","09ef5b8a0fa3cc197793b5ea999ad945","Eukaryota;Chordata;Actinopterygii;Perciformes","Eukaryota;Chordata;Actinopterygii;Perciformes;Bramidae","Unassigned","Unassigned","Unassigned","Eukaryota;Chordata;Actinopterygii;Perciformes"
"34","0a065b1a4ad0ad9b0307f14b84d105c6","Eukaryota;Chordata;Actinopterygii;Beryciformes;Melamphaidae;Scopeloberyx;Scopeloberyx_opisthopterus;","Eukaryota;Chordata;Actinopterygii;Beryciformes;Berycidae;Beryx","Eukaryota;Chordata;Actinopterygii;Beryciformes;Berycidae;Beryx","Eukaryota;Chordata;Actinopterygii;Beryciformes;Melamphaidae;Scopeloberyx;Scopeloberyx_opisthopterus;","Eukaryota;Chordata;Actinopterygii;Beryciformes;Melamphaidae;Scopeloberyx;Scopeloberyx_opisthopterus;","Eukaryota;Chordata;Actinopterygii;Beryciformes;Melamphaidae;Scopeloberyx;Scopeloberyx_opisthopterus;"
