Sample ID	OTZ number	sample	reads	Type	Cruise	platform	cast	deployment	depth	experiment	diel	unique_id	rep	depth_group2	depth_group	temp	oxy	sal	fluor
OTZ-12S-1698	OTZ-1698	AR43_C001_N21	167985	sample	AR43	ctd	1	C001	10	ctd	night	1_10	1	0-200	0-200	13.5098	166.777	35.3497	1.4169
OTZ-12S-1710	OTZ-1710	AR43_C001_N22	4031	sample	AR43	ctd	1	C001	10	ctd	night	1_10	2	0-200	0-200	13.512	176.985	35.3492	1.3095
OTZ-12S-1728	OTZ-1728	AR43_C001_N23	199314	sample	AR43	ctd	1	C001	10	ctd	night	1_10	3	0-200	0-200	13.5121	185.282	35.347	1.3074
OTZ-12S-1746	OTZ-1746	AR43_C001_N24	71299	sample	AR43	ctd	1	C001	10	ctd	night	1_10	4	0-200	0-200	13.5104	184.201	35.3482	1.5221
OTZ-12S-1699	OTZ-1699	AR43_C001_N17	174872	sample	AR43	ctd	1	C001	100	ctd	night	1_100	1	0-200	0-200	13.8971	222.183	35.5896	0.194
OTZ-12S-1711	OTZ-1711	AR43_C001_N18	142352	sample	AR43	ctd	1	C001	100	ctd	night	1_100	2	0-200	0-200	13.9156	221.413	35.5933	0.2414
OTZ-12S-1729	OTZ-1729	AR43_C001_N19	41644	sample	AR43	ctd	1	C001	100	ctd	night	1_100	3	0-200	0-200	13.9299	220.701	35.5965	0.2364
OTZ-12S-1747	OTZ-1747	AR43_C001_N20	155964	sample	AR43	ctd	1	C001	100	ctd	night	1_100	4	0-200	0-200	13.9007	220.206	35.5982	0.2004
OTZ-12S-1712	OTZ-1712	AR43_C001_N14	82083	sample	AR43	ctd	1	C001	300	ctd	night	1_300	1	200-1000	300-500	9.0482	142.543	35.2079	0.034
OTZ-12S-1730	OTZ-1730	AR43_C001_N15	51570	sample	AR43	ctd	1	C001	300	ctd	night	1_300	2	200-1000	300-500	9.047	142.796	35.2082	0.0291
OTZ-12S-1748	OTZ-1748	AR43_C001_N16	93397	sample	AR43	ctd	1	C001	300	ctd	night	1_300	3	200-1000	300-500	9.0644	142.77	35.2106	0.0416
OTZ-12S-1767	OTZ-1767	AR43_C001_N13	115952	sample	AR43	ctd	1	C001	300	ctd	night	1_300	4	200-1000	300-500	9.051	142.64	35.2064	0.0383
OTZ-12S-1713	OTZ-1713	AR43_C001_N10	155910	sample	AR43	ctd	1	C001	500	ctd	night	1_500	1	200-1000	300-500	6.4081	197.483	35.0982	0.0276
OTZ-12S-1731	OTZ-1731	AR43_C001_N11	158523	sample	AR43	ctd	1	C001	500	ctd	night	1_500	2	200-1000	300-500	6.4171	197.567	35.0982	0.0168
OTZ-12S-1749	OTZ-1749	AR43_C001_N12	188111	sample	AR43	ctd	1	C001	500	ctd	night	1_500	3	200-1000	300-500	6.4153	197.307	35.0986	0.0443
OTZ-12S-1768	OTZ-1768	AR43_C001_N9	153582	sample	AR43	ctd	1	C001	500	ctd	night	1_500	4	200-1000	300-500	6.4048	197.638	35.0979	0.034
OTZ-12S-1700	OTZ-1700	AR43_C001_N5	180415	sample	AR43	ctd	1	C001	800	ctd	night	1_800	1	200-1000	800-1000	4.768	240.766	34.9933	0.0385
OTZ-12S-1714	OTZ-1714	AR43_C001_N6	117649	sample	AR43	ctd	1	C001	800	ctd	night	1_800	2	200-1000	800-1000	4.7684	240.883	34.9935	0.0225
OTZ-12S-1732	OTZ-1732	AR43_C001_N7	152342	sample	AR43	ctd	1	C001	800	ctd	night	1_800	3	200-1000	800-1000	4.7695	240.885	34.9937	0.0301
OTZ-12S-1750	OTZ-1750	AR43_C001_N8	51907	sample	AR43	ctd	1	C001	800	ctd	night	1_800	4	200-1000	800-1000	4.7691	240.886	34.9938	0.0223
OTZ-12S-1701	OTZ-1701	AR43_C001_N1	149038	sample	AR43	ctd	1	C001	1000	ctd	night	1_1000	1	200-1000	800-1000	4.4059	251.089	34.9746	0.0286
OTZ-12S-1715	OTZ-1715	AR43_C001_N2	117186	sample	AR43	ctd	1	C001	1000	ctd	night	1_1000	2	200-1000	800-1000	4.4062	250.892	34.9744	0.0397
OTZ-12S-1733	OTZ-1733	AR43_C001_N3	235252	sample	AR43	ctd	1	C001	1000	ctd	night	1_1000	3	200-1000	800-1000	4.4048	251.008	34.9744	0.0346
OTZ-12S-1751	OTZ-1751	AR43_C001_N4	151863	sample	AR43	ctd	1	C001	1000	ctd	night	1_1000	4	200-1000	800-1000	4.4062	251.057	34.9741	0.0397
