Sample ID	sample	raw_reads	OTZ number	Type	platform	deployment	deployn	depth	duration	goal	rep	diel	uniqueID	uniqueID2	depth_group	depth_group2	temp	oxy	sal	fluor
Annette058-AR043-C002-N14-OTZ-897	AR43_C001_N21	150460	OTZ-897	sample	ctd	C001	1	10	NA	3	1	night	1	1_10	0-200	0-200	13.5098	166.777	35.3497	1.4169
Annette059-AR043-C001-N22-OTZ-898	AR43_C001_N22	138004	OTZ-898	sample	ctd	C001	1	10	NA	3	2	night	2	1_10	0-200	0-200	13.512	176.985	35.3492	1.3095
Annette060-AR043-C002-N16-OTZ-899	AR43_C001_N23	103527	OTZ-899	sample	ctd	C001	1	10	NA	3	3	night	3	1_10	0-200	0-200	13.5121	185.282	35.347	1.3074
Annette061-AR043-C002-N4-OTZ-900	AR43_C001_N24	104251	OTZ-900	sample	ctd	C001	1	10	NA	3	4	night	4	1_10	0-200	0-200	13.5104	184.201	35.3482	1.5221
Annette054-AR043-C002-N11-OTZ-893	AR43_C001_N17	50252	OTZ-893	sample	ctd	C001	1	100	NA	3	1	night	5	1_100	0-200	0-200	13.8971	222.183	35.5896	0.194
Annette055-AR043-C001-N19-OTZ-894	AR43_C001_N18	101460	OTZ-894	sample	ctd	C001	1	100	NA	3	2	night	6	1_100	0-200	0-200	13.9156	221.413	35.5933	0.2414
Annette056-AR043-C001-N3-OTZ-895	AR43_C001_N19	45721	OTZ-895	sample	ctd	C001	1	100	NA	3	3	night	7	1_100	0-200	0-200	13.9299	220.701	35.5965	0.2364
Annette057-AR043-C002-N18-OTZ-896	AR43_C001_N20	112055	OTZ-896	sample	ctd	C001	1	100	NA	3	4	night	8	1_100	0-200	0-200	13.9007	220.206	35.5982	0.2004
Annette050-AR043-C002-N9-OTZ-889	AR43_C001_N13	105241	OTZ-889	sample	ctd	C001	1	300	NA	3	1	night	9	1_300	300-500	200-1000	9.051	142.64	35.2064	0.0383
Annette051-AR043-C002-N13-OTZ-890	AR43_C001_N14	125127	OTZ-890	sample	ctd	C001	1	300	NA	3	2	night	10	1_300	300-500	200-1000	9.0482	142.543	35.2079	0.034
Annette052-AR043-C002-N17-OTZ-891	AR43_C001_N15	126698	OTZ-891	sample	ctd	C001	1	300	NA	3	3	night	11	1_300	300-500	200-1000	9.047	142.796	35.2082	0.0291
Annette053-AR043-C002-N21-OTZ-892	AR43_C001_N16	95472	OTZ-892	sample	ctd	C001	1	300	NA	3	4	night	12	1_300	300-500	200-1000	9.0644	142.77	35.2106	0.0416
Annette046-AR043-C001-N13-OTZ-885	AR43_C001_N9	109845	OTZ-885	sample	ctd	C001	1	500	NA	3	1	night	13	1_500	300-500	200-1000	6.4048	197.638	35.0979	0.034
Annette047-AR043-C001-N17-OTZ-886	AR43_C001_N10	174232	OTZ-886	sample	ctd	C001	1	500	NA	3	2	night	14	1_500	300-500	200-1000	6.4081	197.483	35.0982	0.0276
