,0
1421d1e10d87e46198714189e32b668c,600346.0
e75110e493a85f1f5bc70a4f083f7cf3,505404.0
102728a2f4054d96242082d58b95dc7e,418802.0
9bc3a36c911e4793d29a8309594662a2,378028.0
559a1a56bdb1622bc77d1bd0a4d99868,372295.0
609f7a3864aa8d2f486669f6c7c1d140,360942.0
59f0f5f8acb2719d8e67dd4fc1dd09ca,339081.0
0bf97b2373cc7415d42d54da28fb62e7,167071.0
816c4468c406b238f6ce27202e16453d,163424.0
2c5457fbad2a1ccada05af050377de8b,159888.0
c2eb7084016da86bc7599f3276ad4907,145795.0
d54e9fdd18e255f9a6b125fc36426822,93477.0
ad2e8f3951c73656f6a1df33e1a953cf,92504.0
a2fe2d7e1bfb057c1854ad52332ebdea,80704.0
1143c24284335cf56c7fa5b7fad6e1d9,66854.0
bebd38135a69ee722f2e7d30422cbe76,64631.0
ef81c695c98694a3ad35b328c5a68119,60277.0
2fe303786218953bc1c7f3926571a359,56917.0
2dab3068cb6092ddac37141ccf003888,53516.0
f667333e96a764934e5a036ad2a6f5a5,48318.0
c041fb97e5c0ecc61285279ba7f9b629,48107.0
2e3e8ba5050933b4f0abbeefc6a095ca,40444.0
2d53d03d03501dc1cc54317d35472cb2,40437.0
a844596c8ecbdbce6d57d3af3686223a,38012.0
aaf41916a530d5e7c5a7ed668091d94b,34576.0
b64735da8f3632f44759b15e5faddcee,34381.0
3b95dbf9154392b5569fe6926f2b4ca7,33789.0
7a7ae839ccbf5f2a1de219a9e65b3e4d,31194.0
f8446f009f5fc73b40918d5481561aba,30690.0
7793a3d6af33a407b9cdfa9aa9053caf,30045.0
309cba4215d45866bdabd48e7ce19794,24274.0
b9b96f46902ec55b7356c410e2c04119,20909.0
b8ee7d691775213367b3d71a3014df45,20020.0
f49dcf631d8e308eac03061ae15067ef,19624.0
d3c948e55d22d79291cb075fb9f67d9c,19116.0
690720cdd0f7dee2e752860fc9f35cea,19048.0
31608833ac91d047786a1af90212d213,18139.0
0ee028d1372c02c35607fc94fcc76eeb,17780.0
1bdc40a4d90fa394b487f8385877a5b8,15113.0
3a37f8d2148a671e387ee394ada9f367,14821.0
74c20f40b559fa760e36afc9e46a037c,14405.0
7eccd0cb747c968b6fc71c9878517cc5,14283.0
118374e81ee2aa67be01d24163efabad,14061.0
21a14011e1934aa5bdfc677b2f6f40ae,13975.0
c67f1337dc9175fdd3f12e4a0cb1737b,13851.0
438cf8a6b58d2f24d56bfa4273464ef8,13547.0
7cfbcd86b4d2de761a425bda26123d06,12884.0
edd0414c0acd71b75f92e825f6c4f307,12150.0
15ecd24a90245d8e3be7533e8430ae1a,11988.0
a9d07d17396360a0bb1b5cdcbffd4363,11617.0
0ef2f23c4f91cd0000ebb1ea7cadc259,11061.0
3a4bb6a238ae362f552f25f4bcf54cea,10421.0
9dc310bf923e55a1e61a8a4e40793e4a,10386.0
5c5887426cddfe80309aa3cd7377c1c8,10073.0
02b2d972a16ba42cb84a6b8f0c26995a,9565.0
d91786f7d5ff3f09dc85ec6fd56206fc,9216.0
79988847f9b2c34843f367a898a51310,8639.0
ae279cd251d1e79cd9457d3db738d953,8221.0
9143e72ac8df14cd93fd361edf939b92,7446.0
c0977d618bd0679a3be01ddadd4e60dd,7354.0
7908afc05eb41a22dbe82f1e25cf4f6e,7201.0
c6461ce8f3bdd8245f76577635934623,7153.0
73f79754d52c6fe95925b8781559ccaf,6925.0
caa77cc75d7dd061c56a82d356fe3c35,6807.0
60bb044b1281916793d78dc900bfb81e,6428.0
e36a26d667f80c2e061edcc6f13104ad,6369.0
eba9d53b7ab97f5095045884323d8cea,5891.0
4ca5de317a4c9c1c46ff7e3945f56cf8,5525.0
df11fe9ea23c65ff205e7b7ceeabb3ae,5418.0
a615c30b7809fe18e666e97e930b005e,5114.0
d673fd53205f8d7ee7ed462fabd76176,5042.0
a96375be9c24f53033f8088d7da2faa6,4869.0
d5bcfc49af730d55f95d55f57ac2250e,4632.0
71782a3e0fdddea6750e538225bb58b0,4591.0
38aa2aebac9cdee734dd317a83b8c4d6,4572.0
35f88e7922d90d2fd38db2b8e535d984,4535.0
08c8859069d97c01dde26443ed682db4,4238.0
103dcbe852b05685bff0f9a5dd979868,4157.0
0c7da13f2221a6291b63174de820e1ab,4151.0
7f28c20a94783c79633e897a31a99e7d,3982.0
222a11d5f86582e8f8f0f8a0b630dbc6,3886.0
6ce6d81c805062831ed216ba7ea0826d,3766.0
99a9f1b80cffcb24eb14dd398ca02bee,3553.0
3f98304df5315d46332256ede4c99622,3419.0
9505d71abfdc4af0aba62556c3522cb8,3391.0
a768673d993ee79d5c8e5d79f3974e6f,3292.0
