,0
1a8c8a1f715c8e84d51bcd6c08f20835,397166.0
8e94aa53e61d5b52c47e0c769ae06197,234971.0
741088598e001d7ed41909f1414cd2b0,184654.0
a324302dd50eaa757a18424b4ee0d0ff,147775.0
6e3a0cde24c04bb5318f0827c2e9d85a,135287.0
51627b4ac2bd9b965b19ece47cf65281,126592.0
67589389e1fdd42f0acbe10c97a03e61,123396.0
43c194e0801f3987ba2ede7fedf680ff,100543.0
e7775126d592f3b9fed0760993e40d0a,85949.0
5ffa38f55818486c471279c2a91c0609,70707.0
517c16300e566886759a218dfdc79c95,67396.0
b503a591759a010221e29a89d1cdd878,55916.0
3b839477a29ee930ce0deaa8d7143e81,44215.0
eb43fc67f81c3b43743e234f18d6a076,40536.0
70b15e7d989f943cae8d8005743fee83,38719.0
cf87814776398f3c3ad71c6b0e7fd086,32910.0
2407f2d992db7ab1b4b371ffad9f57d9,27147.0
1a29af58eac67385c48298b336f1cb89,26124.0
5558c5f4832da2ee057a784037ba19d0,23719.0
08dbcbc42067f17c2cb53fe237310b5e,22867.0
4c355126db7b60a9e29eaecf9a521a97,22063.0
2f4f8d6aef04b2e63de3278e7faf0c73,21258.0
049d4f8785b0b54aaf378896e837565e,19452.0
05fe065b48c353de4b5db9977402b158,14832.0
140ea2f6e5ffd958aa0f7224eeab3caa,13422.0
e0a16f98b564fab60559ee961dd08dac,9869.0
1e52cc251818265e3f35def8298b6e77,9118.0
8747e55f2876394fe809c87c41c7029a,8273.0
fce3c59d3c2258f9063f7db86dfd73a4,8007.0
77346ce39ada8fd815aa222cb5271f92,7438.0
7dd385ce60a86ccc9afecd73d21fe54c,7277.0
f8d28a949b7f0508e92f4c470c9032d7,7165.0
bf9d70bc6d65bd1874fce3aa7894d077,6809.0
c38fa1d91765da2dcb918b509321771e,6546.0
01d454571201946481b2e43ba9cf04a0,6353.0
66f2aa9c2fca622a5567cdabb73e9d6f,6266.0
0c7a1b36a55ed09019e0349c51eec7f3,6006.0
f8dc0598dfb6e3279407f37a14812970,5948.0
6ff11355945f60ff9eb4489a0fefa0ed,5021.0
9f21969142733f6883477e698cdb32fa,4651.0
4986c929c5a1c1e13f0e3e6e432acec7,4467.0
b686b4389b069789c838eed23a249c5e,4161.0
efdd0511ae419c68f0428efe568c2434,4029.0
f719c8dd9b927c3606791d622323fe13,3975.0
6c6cf16fb21bef83332b62da58a75a45,3593.0
016ab1cfad3534e7a3d79a4c5f33033b,3365.0
3344e0753b88c8aa8359d33c943a68f5,3340.0
365c7b8a2b619da4d520dc72698a3a6e,3263.0
59cfb6ceb61511d4774fc85810c5dc42,3006.0
c980e16c7a927570f0e8e5f5c2641487,2878.0
e1f2dc6ca63aec5746d9321b41a4aa8e,2813.0
1bb66042ac7794ed2ec3834ce78d43f1,2735.0
792972f1ede5928ea461e61690c7709a,2665.0
052686d6eddfee9f88fd9f07d78e1091,2573.0
681981f442955339df0f6d49b657e52a,2555.0
d51c1867b9c23f1888ba8d80c0e4d571,2466.0
ffdbbe8ceffb57716b0ea5c50b399dfe,2407.0
9beebe8fe438b2e1b863d423d491b268,2356.0
7fd4cdba340e8bc1489e2adecd7b2154,2214.0
d1ae5258855431da6cb5383eac9c112f,2043.0
f60fa3398938e5e640395b870e5169c3,1980.0
0ae87e229c9846270aa798af93b44825,1725.0
b24af785e3b4b070fa58ad8803f6a379,1551.0
50257fd73cb96e7f8be552ce844a5e47,1489.0
099c75b7b62ae1bbfa3cb8fcc7d3a3fd,1429.0
6d20de8f30e690dd2b000518fea00757,1269.0
79e9ae5111b969edd6193bc6dc172a76,1226.0
fc1077d723d57e82fc1344524033fb6f,1185.0
58281c80296ed694087aadda72a2807d,1147.0
bbcd03bb6a6db7faa0c9b64b57db0378,1121.0
9aa56e3ade394e78f1bba947ad8e020c,1050.0
3e49921662e4a345b4622d5934d53d6e,1019.0
1e4ba46d75ff78ccd3d95491bd321fef,1012.0
3fa981cfe604116a80da9d1d3b5813f0,986.0
33fa9b95db0c81a921f0bd6c26ca270d,986.0
fb5eebb6983a17c092cafea61880d618,949.0
11d06a7d36661358d0119170b3fdfcb8,949.0
7052d5fab652e299b95761cf2d477459,938.0
96a68a609a37d8a636105c575544824e,937.0
ca0d6fcd134a27d51d0101a260e2a1d7,847.0
5afef1109ced5c03c662205a2eb4d56a,818.0
1ff1fff946d91c31af81d78212918049,810.0
9f936803dd027258bda71f32b7aec5ac,783.0
82d2aba200983590520abb9467eb8b07,780.0
afc4e0b484ee6cac163e04b798ca9cb7,774.0
e9d600d49b1f9f49f80472291f3669d2,741.0
df2580d65da348ac6810a03cff41a903,736.0
7a995efda25e41a83376ab010c925262,730.0
fcb2722e13d81db779d7d515ea70d445,642.0
4238e8c7f636a7e948636a9b47f1593c,631.0
968376f3d3420460b9c45d30ae8aecab,622.0
12a21547f8465d950da87dfc4c0a5c93,602.0
7eefe15d7b7fe21d9d738748f5970d5f,592.0
74a63161399ae5b1dcc75ea236024213,584.0
ef3f8b3904f832327ed1a2f8c3bd8526,564.0
