"","feature","freq","prev","p.freq","p.prev","p","contaminant","frequency","Taxon","Confidence","Consensus","Method"
"1","2a5a83b99aa3bcd662a2df2c5b20c0a7",0.000674605379183166,3,NA,0.0599925953350611,0.0599925953350611,TRUE,47,"Eukaryota;Archaeplastida;Streptophyta;Streptophyta_X;Embryophyceae;Embryophyceae_X;Embryophyceae_XX;Zea;Zea_mays;","","0.787","VSEARCH"
"2","2757b3e1cba3a398e3e1139105ac8e8e",7.4152061423273e-05,2,NA,0.0399999999999999,0.0399999999999999,TRUE,10,"Eukaryota","0.999829743","1","sklearn"
"3","88a86b8263aebed9ce1346f52f33f46c",0.000252732175387444,15,NA,0.296630877452795,0.296630877452795,TRUE,170,"Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Leptocylindraceae;Leptocylindrus;Leptocylindrus_danicus;","","1","VSEARCH"
"4","dc786b74de78172315b4258e750bcf75",5.77333978300372e-05,3,NA,0.0599925953350611,0.0599925953350611,TRUE,23,"Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros_socialis;","0.980626218","1","sklearn"
"5","50c98c045e38d899a9dc5b3c18fdcc3b",8.63889874781981e-05,2,NA,0.0399999999999999,0.0399999999999999,TRUE,9,"Eukaryota","0.999737811","1","sklearn"
"6","70ecc9d655184eecdf9cf24495c47085",0.000259142156521592,12,NA,0.238370973713439,0.238370973713439,TRUE,353,"Eukaryota;Excavata;Discoba;Euglenozoa;Diplonemea;Diplonemida;Eupelagonemidae;Eupelagonemidae_X;Eupelagonemidae_X_sp.;","0.999999906","1","sklearn"
"7","d12457ad0bd8bdcf0d32beee9a306ee0",0.000109652906239708,5,NA,0.0999259533506109,0.0999259533506109,TRUE,20,"Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Peniculia;Frontoniidae_2;Frontoniidae_2_X;Frontoniidae_2_X_sp.;","","1","VSEARCH"
"8","b4e8560f0fdfdd48af6da12e0cc475b1",0.000141202093154328,17,NA,0.33496482784154,0.33496482784154,TRUE,392,"Eukaryota;Excavata;Discoba;Euglenozoa;Kinetoplastea","0.99904474","1","sklearn"
"9","23407b7a0f2006b21941819c4523ca3f",0.000383739332100164,13,NA,0.257882265827471,0.257882265827471,TRUE,1354,"Eukaryota;TSAR;Alveolata;Alveolata_X;Ellobiopsidae;Ellobiopsidae_X;Ellobiopsidae_XX;Thalassomyces;Thalassomyces_fagei;","","1","VSEARCH"
"10","e4173427721763992e99c132acb162d0",0.000145097932410225,3,NA,0.0599925953350611,0.0599925953350611,TRUE,26,"Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Thecofilosea;Cryomonadida;Cryothecomonas-lineage;Cryothecomonas","0.935847948","1","sklearn"
